PLAYER_ID,player,pos,team,gp,g,a,p,soi,+/-
8477496,Elias Lindholm,C,Calgary Flames,56,19,28,47,66846,10
8476854,Hampus Lindholm,D,Anaheim Ducks,18,2,4,6,23792,-1
8480944,Par Lindholm,C,Boston Bruins,1,0,0,0,775,0
8480184,Gustav Lindstrom,D,Detroit Red Wings,13,0,3,3,12572,1
8481481,Blake Lizotte,C,Los Angeles Kings,41,3,7,10,31257,2
8479367,William Lockwood,R,Vancouver Canucks,2,0,0,0,1703,-2
8479066,Ryan Lomberg,L,Florida Panthers,34,2,2,4,19825,-2
8478904,Steven Lorentz,C,Carolina Hurricanes,45,2,6,8,28185,1
8476392,Adam Lowry,C,Winnipeg Jets,52,10,14,24,48441,6
8473473,Milan Lucic,L,Calgary Flames,56,10,13,23,45791,-8
8479644,Matt Luff,R,Los Angeles Kings,13,1,0,1,8177,-4
8480806,Isac Lundestrom,C,Anaheim Ducks,41,6,3,9,37497,-9
8480185,Eetu Luostarinen,C,Florida Panthers,44,3,5,8,34681,-11
8480950,Ilya Lyubushkin,D,Arizona Coyotes,42,1,1,2,39543,-13
8476874,Olli Maatta,D,Los Angeles Kings,41,0,4,4,40434,-8
8477073,Kurtis MacDermid,D,Los Angeles Kings,28,2,2,4,22436,-14
8479439,Jacob MacDonald,D,Colorado Avalanche,33,1,8,9,29602,14
8476907,Mackenzie MacEachern,L,St. Louis Blues,21,1,1,2,12224,3
8479772,Zack MacEwen,C,Vancouver Canucks,34,1,1,2,17627,-2
8477974,Ryan MacInnis,C,Columbus Blue Jackets,16,0,0,0,9575,-3
8482067,Connor Mackey,D,Calgary Flames,6,1,2,3,5098,3
8477492,Nathan MacKinnon,C,Colorado Avalanche,48,20,45,65,58649,22
8479372,Josh Mahura,D,Anaheim Ducks,13,1,3,4,12400,0
8477544,Philippe Maillet,C,Washington Capitals,2,0,0,0,1098,-1
8480069,Cale Makar,D,Colorado Avalanche,44,8,36,44,64174,17
8471215,Evgeni Malkin,C,Pittsburgh Penguins,33,8,20,28,35127,-4
8477391,Sean Malone,C,Nashville Predators,1,0,1,1,638,-1
8479573,Mikhail Maltsev,L,New Jersey Devils,33,6,3,9,22665,-4
8478233,Andrew Mangiapane,L,Calgary Flames,56,18,14,32,56005,1
8476312,Josh Manson,D,Anaheim Ducks,23,1,6,7,24815,-3
8477511,Anthony Mantha,R,"Detroit Red Wings,Washington Capitals",56,15,14,29,60896,-14
8473419,Brad Marchand,L,Boston Bruins,53,29,40,69,60135,26
8476539,Jonathan Marchessault,C,Vegas Golden Knights,55,18,26,44,57498,19
8478975,Mason Marchment,L,Florida Panthers,33,2,8,10,27989,4
8478507,John Marino,D,Pittsburgh Penguins,52,3,10,13,64689,5
8466139,Patrick Marleau,C,San Jose Sharks,56,4,5,9,44630,-9
8478483,Mitchell Marner,R,Toronto Maple Leafs,55,20,47,67,74009,21
8474034,Pat Maroon,L,Tampa Bay Lightning,55,4,14,18,38256,2
8474709,Matt Martin,L,New York Islanders,54,6,5,11,35864,-2
8474166,Alec Martinez,D,Vegas Golden Knights,53,9,23,32,71759,26
8476921,Jordan Martinook,L,Carolina Hurricanes,44,4,9,13,33678,-3
8476875,Mike Matheson,D,Pittsburgh Penguins,44,5,11,16,49206,9
8476870,Stefan Matteau,C,Columbus Blue Jackets,18,1,0,1,11690,-4
8479318,Auston Matthews,C,Toronto Maple Leafs,52,41,25,66,67246,21
8476429,Scott Mayfield,D,New York Islanders,56,2,13,15,65449,2
8479933,Gerald Mayhew,C,Minnesota Wild,4,0,1,1,2818,1
8479325,Charlie McAvoy,D,Boston Bruins,51,5,25,30,73427,22
8476931,Jake McCabe,D,Buffalo Sabres,13,1,2,3,14962,2
8477955,Jared McCann,L,Pittsburgh Penguins,43,14,18,32,36414,17
8477446,Michael McCarron,R,Nashville Predators,6,0,0,0,3705,1
8476323,Max McCormick,L,Carolina Hurricanes,12,2,1,3,5630,3
8478402,Connor McDavid,C,Edmonton Oilers,56,33,72,105,74436,21
8474151,Ryan McDonagh,D,Tampa Bay Lightning,50,4,8,12,65686,13
8476934,Brock McGinn,L,Carolina Hurricanes,37,8,5,13,33268,0
8475735,Greg McKegg,C,Boston Bruins,5,1,0,1,2872,-3
8479415,Michael McLeod,C,New Jersey Devils,52,9,6,15,43097,-12
8480802,Ryan McLeod,C,Edmonton Oilers,10,0,1,1,7673,-2
8481580,Connor McMichael,C,Washington Capitals,1,0,0,0,594,0
8475188,Brayden McNabb,D,Vegas Golden Knights,41,2,6,8,47475,10
8477126,Jayson Megna,C,Colorado Avalanche,7,0,2,2,4306,2
8478414,Timo Meier,R,San Jose Sharks,54,12,19,31,52026,-5
8478467,Nicolas Meloche,D,San Jose Sharks,7,0,1,1,4028,1
8478447,Nick Merkley,R,New Jersey Devils,27,2,8,10,18641,-5
8477541,Dakota Mermis,D,Minnesota Wild,3,0,0,0,2952,0
8475750,Jon Merrill,D,"Detroit Red Wings,Montréal Canadiens",49,0,5,5,53674,-9
8479376,Victor Mete,D,"Montréal Canadiens,Ottawa Senators",28,1,4,5,26542,8
8482063,Marc Michaelis,L,Vancouver Canucks,15,0,0,0,8173,-5
8478136,Jacob Middleton,D,San Jose Sharks,1,0,0,0,524,-2
8479387,Keaton Middleton,D,Colorado Avalanche,3,0,0,0,1675,-1
8481624,Ilya Mikheyev,R,Toronto Maple Leafs,54,7,10,17,46039,5
8478859,Niko Mikkola,D,St. Louis Blues,30,1,2,3,26132,-11
8477947,Sonny Milano,L,Anaheim Ducks,6,0,0,0,5304,0
8476525,Colin Miller,D,Buffalo Sabres,48,4,8,12,51840,-20
8476468,J.T. Miller,C,Vancouver Canucks,53,15,31,46,66670,-7
8480817,K'Andre Miller,D,New York Rangers,53,5,7,12,67129,9
8476191,Kevan Miller,D,Boston Bruins,28,1,3,4,32029,-1
8480070,Ian Mitchell,D,Chicago Blackhawks,39,3,4,7,35165,-10
8479999,Casey Mittelstadt,C,Buffalo Sabres,41,10,12,22,39070,-10
8477497,Sean Monahan,C,Calgary Flames,50,10,18,28,53072,-6
8477986,Brandon Montour,D,"Buffalo Sabres,Florida Panthers",50,7,11,18,61458,-5
8475186,John Moore,D,Boston Bruins,5,0,2,2,6296,-3
8479675,Trevor Moore,C,Los Angeles Kings,56,10,13,23,48849,-5
8477502,Samuel Morin,L,Philadelphia Flyers,20,1,0,1,12230,-7
8477504,Josh Morrissey,D,Winnipeg Jets,56,4,17,21,79123,-1
8477353,Tyler Motte,C,Vancouver Canucks,24,6,3,9,23065,0
